V,Gz,Gz2,P,Bn
Quando lo nostro signore Gesù Cristo parlava umanamente con noi infra all’altre sue parole ne disse,Quando lo nostro signore Gesù Cristo parlava umanamente con noi infra all’altre sue parole ne disse,Quando lo nostro signore Gesù Cristo parlava umanamente con noi infra all’altre sue parole ne disse,Quando **il **nostro signore Gesù Cristo parlava umanamente con noi fra **l’altre** sue parole ne disse,**Comune sententia e verace si è **
Abbondanza,Abbondanza,Abbondanza,**Baldanza **,**Baldanza **
Le vostre menti e le vostre parole nel piacere di Dio,Le vostre menti e le vostre parole nel piacere di Dio,Le vostre menti e le vostre parole nel piacere di iddio,**La vostra mente** e le vostre parole **primamente** nel piacere di iddio,**Le vostre menti primamente** nel piacere di Dio
"Parlando, onorando e temendo e laudando quel signore nostro","Parlando, onorando e temendo e laudando quel signore nostro","Parlando, onorando e temendo e laudando quel signore nostro","Parlando, onorando, tenendo e laudando **quello** **signore**","**Onorando**, temendo e laudando **lui**"
Che n’amò prima che elli ne criasse e prima che noi medesimi ci amassimo,Che n’amò prima che elli ne criasse e prima che noi medesimi ci amassimo,Che n’amò prima che elli ne criasse e prima che noi medesimi ci amassimo,Che **ci ama** prima che ci creasse e prima che noi **stesse** ci amassimo,
Si può parlare,Si può parlare,Si può parlare,Si può **uomo** parlare,Si può **uomo** parlare
Il corpo,Il corpo,Il corpo,**Li corpi nostri **,Il corpo
Sostentare,sostentare,Sostentare,**Sostenere**,Sostentare
Onestade,Onestade,Onestade,**Onestità **,Onestade
Nell’opere quasi com’uno specchio,Nell’opere quasi com’uno specchio,Nell’opere quasi com’uno specchio,Nell’opere **molte volte** quasi com’uno specchio,Nell’opere quasi com’uno specchio
Appo i,Appo i,Appo i,**Alli **,**Alli**
Donari,Donari,Donari,**Doni **,Donari
Chi,Chi,Chi,**Quale **,**Quale **
Simigliare per lo tempo,Somigliare per lo tempo,Somigliare per lo tempo,**Assimigliare nel tempo **,**Assimigliare nel tempo **
Talora,Talora,Talora,**Talvolta **,Talora
A,A,A,**Alli **,A
Sono stati molti che sono vivuti,Sono stati molti che sono vivuti,Sono stati molti che sono vivuti,Sono **isusi** molti che **vivuti sono**,Sono stati molti che sono vivuti
Od,Od,Od,**Overo **,Od
Alcuna,Alcuna,Alcuna,**Una **,Alcuna
Conto,Conto,Conto,Conto,**Contro **
